sample_id	latitude	longitude
SAMEA2619974	20.8322	63.6004
SAMEA2623446	9.84705	-80.053
SAMEA2619857	22.0375	38.2242
SAMEA2619879	18.3992	39.865
SAMEA2623426	7.4141	-79.306
SAMN08714535	22.34	114.27
SAMN08714628	22.34	114.27
SAMEA2619970	20.8322	63.6004
SAMEA2623314	14.1746	-116.6627
SAMEA2623390	6.3744	-103.0644
SAMN05224480	48.59166667	-123.505
SAMN05224481	48.59166667	-123.505
SAMN05224487	48.59166667	-123.505
SAMN05224534	48.59166667	-123.505
SAMN05224443	48.59166667	-123.505
SAMN05224484	48.59166667	-123.505
SAMN05224412	48.59166667	-123.505
SAMN05224477	48.59166667	-123.505
SAMN05224459	48.59166667	-123.505
SAMN05224463	48.59166667	-123.505
SAMN05224401	48.59166667	-123.505
SAMN05224474	48.59166667	-123.505
SAMN05992386	37.3536	-0.286194
SAMEA2623756	34.0274	-56.8759
SAMN04325110	38.8175	25.2594
SAMN05991696	22.75	-158.0
SAMN05991710	22.75	-158.0
SAMN05991682	22.75	-158.0
SAMN13674978	80.03	179.55
SAMEA2621092	-20.3716	-3.215
SAMEA2621232	-20.952	-35.2268
SAMEA2621551	-61.9794	-49.4315
SAMEA2622362	2.08285	-84.5326
SAMEA2623295	14.2046	-116.6714
SAMEA2621101	-20.3716	-3.215
SAMN13674977	-60.01	73.61
SAMEA4397730	78.0912	116.1096
SAMN07136755	-32.5	-176.0
SAMN07136798	-32.515	-164.9812
SAMN05991726	22.75	-158.0
SAMN05991705	22.75	-158.0
SAMN05991684	22.75	-158.0
SAMN05991691	22.75	-158.0
SAMN05991657	22.75	-158.0
SAMN05991664	22.75	-158.0
SAMN05991719	22.75	-158.0
SAMN05991678	22.75	-158.0
SAMN05991665	22.75	-158.0
SAMN05991733	22.75	-158.0
SAMN05991685	22.75	-158.0
SAMN06267284	75.2588	-156.0227
SAMN06267281	73.2247	-150.2247
SAMN04579666	-37.8305	-41.1248
SAMN07510719	45.0	153.5
SAMN07137096	31.66	-64.16
SAMN07137099	31.66	-64.16
SAMN07137114	31.66	-64.16
SAMN07137021	22.75	-158.0
SAMN07136594	39.6922	-69.8629
SAMN07136555	22.333	-35.867
SAMN07136554	22.333	-35.867
SAMN07136590	27.583	-49.633
SAMN07136589	27.583	-49.633
SAMN07136541	24.1497	-40.2179
SAMN07136540	24.1497	-40.2179
SAMN07136574	26.1369	-44.8262
SAMN07136579	17.4	-24.5
SAMN05991713	22.75	-158.0
SAMN05991671	22.75	-158.0
SAMN04578346	10.9107	-44.6678
SAMN03943733	26.0059	-92.3661
SAMN05422171	-28.4063	179.1413
SAMN05991720	22.75	-158.0
SAMN03943732	26.0059	-92.3661
SAMN03860284	22.046	37.929
SAMN03860296	25.772	36.116
